x1,x2,x3,label
-0.144090,-0.172904,-0.111316,1
-0.127588,-1.497353,0.332318,0
-0.216959,0.115885,0.232298,1
0.656637,0.110507,-0.738322,0
0.246342,1.311081,0.041657,1
0.531776,-1.453545,-0.312277,1
0.873404,-0.240630,0.376600,1
0.782327,-1.113222,0.568251,0
-2.619945,-0.606891,-0.915810,0
0.664266,-1.219075,0.847361,0
-0.086244,-0.293900,0.114420,1
0.638414,0.349885,0.649948,1
-0.626985,-0.717371,-0.469968,0
-0.250116,2.335754,-0.819293,1
0.768474,1.421850,0.505693,1
1.426345,-0.094027,-1.422959,1
0.952896,-1.443678,0.033531,1
-0.315592,0.723632,0.580780,1
0.619968,-0.609403,-0.561798,0
0.952274,-0.566833,-0.070261,1
-0.723463,-0.293658,-1.841286,0
-0.567736,0.415761,1.193493,0
0.261364,0.167969,1.084741,1
0.273693,-1.010944,0.903385,0
1.226942,-0.029907,1.953101,0
1.593060,0.115119,-0.516269,1
-0.151031,1.423321,0.816374,1
-2.375873,0.710964,0.555852,0
-0.627384,-0.002310,1.724876,0
-0.427805,1.361785,-0.446151,1
0.097776,-1.241289,0.219945,0
0.885198,0.003181,2.283431,0
1.365689,-1.303264,-0.122139,1
1.745721,-1.680916,0.990620,1
1.533546,0.712386,0.052071,1
-1.248180,0.195423,-0.191697,1
-0.611025,0.320392,-1.569001,1
0.261148,0.823960,1.448102,0
-1.117245,0.457850,0.516987,0
-0.700288,1.133384,0.087896,1
1.274073,0.609272,0.286516,1
0.243703,-0.295964,0.111967,1
0.118712,0.519378,1.195731,0
-1.726570,0.299423,0.229735,0
0.871086,0.607567,-0.994992,1
-0.196105,-1.483025,0.452950,0
-0.745283,0.522946,0.488093,0
0.400352,1.015065,-0.712667,1
0.002756,2.266010,-1.862303,1
-0.306245,-0.100198,1.901589,0
2.240944,-0.442148,0.350512,1
-0.690688,0.062483,-0.282572,0
-2.105028,2.002468,-0.166997,1
-1.007112,0.292536,3.164942,0
-1.495300,-0.546510,0.472488,0
1.290367,-0.257012,-1.602251,1
1.240223,0.465663,-1.956939,1
1.398168,2.126548,0.561687,1
-1.240206,-0.843243,0.046916,0
0.580184,-0.478209,-1.151942,0
-1.156974,0.643409,-2.312281,1
0.449878,1.522013,0.071300,1
-0.399004,-0.744404,-0.674393,1
0.994221,0.487398,3.330269,0
0.620350,0.307592,-0.221886,1
1.506605,-1.399480,-0.399846,1
0.783183,-1.348447,-2.255562,0
-0.071111,-0.103203,0.345219,0
-1.224238,-2.023045,0.329187,0
0.992994,0.790796,-0.190716,1
-0.136367,-0.660836,-0.520578,0
-2.165737,0.156326,0.249886,0
-0.713841,0.371804,1.716871,0
-0.507634,-0.591447,-0.069756,0
-0.125261,0.061182,1.844679,1
1.034029,-0.712949,0.669922,0
0.311961,0.418737,-0.766409,1
0.567374,-1.902728,0.552860,0
0.001376,0.465765,0.390533,0
-1.158320,0.772624,1.301204,1
1.803168,-2.055537,0.769482,0
1.613601,0.253349,-1.141169,1
0.643971,-1.891149,0.293468,0
0.111295,-0.465195,1.373494,0
0.317405,1.814188,-0.826960,1
0.202002,-0.689702,0.647894,0
-0.943768,1.762016,0.791615,0
-0.636675,-0.784363,1.230941,0
0.459438,-0.184457,0.616409,0
0.763854,-0.183211,0.829587,1
-0.116610,-0.859777,-0.940120,0
-0.984488,0.865796,-0.046602,1
2.279330,0.024222,-1.548017,1
-0.075348,-1.488442,-0.250493,0
-0.459428,-0.768426,-0.758757,1
-0.159646,-0.829930,-0.372898,1
-0.684688,0.481847,0.727885,1
1.399695,-0.550482,1.132733,0
-0.396540,1.196087,0.822375,1
-1.191414,0.561660,-0.630373,0
-0.648134,0.246494,-2.121032,1
0.173910,-0.584526,1.036927,0
-0.606284,-0.670017,0.695151,0
-0.332622,-0.631047,0.069877,0
0.036788,1.134848,0.228063,1
-1.210855,0.721850,0.528147,1
-0.747455,0.026418,-0.058693,0
0.010390,-1.714539,0.824986,0
1.130473,2.249574,-0.318967,1
0.009784,1.942185,-1.731220,1
-1.470831,-2.581571,-2.020833,0
1.069025,-0.868360,-0.227458,0
0.610950,-1.101962,1.317652,0
-0.764827,0.122741,0.024711,1
0.120407,-1.207834,-0.560335,0
0.725042,0.383793,-0.119391,1
-0.528496,-0.136234,0.180760,1
-0.098533,-0.350799,-1.045837,1
